	Portfolio Val	SP500	Rolling_mean_PV	Rolling_std_PV	upper_band_PV	lower_band_PV	BB
4	9863.244644523731	2046.68	9995.237797381678	76.34613847336456	10147.930074328407	9842.54552043495	-0.8644389585204542
5	9924.323042208038	2051.31	9980.102405823285	82.42535256006903	10144.953110943423	9815.251700703147	-0.33836290584621453
6	10107.138355618106	2076.62	9990.44516379217	96.31406507783645	10183.073293947844	9797.817033636496	0.6057951750433864
7	10244.6212071855	2099.6	10033.56225244046	150.7700289138674	10335.102310268196	9732.022194612726	0.6999367058078058
8	10319.947293121817	2108.95	10091.854908531439	197.43786409330968	10486.730636718059	9696.979180344819	0.5776308046023557
9	10301.069060431066	2107.4	10179.419791712906	165.14895202770742	10509.71769576832	9849.121887657491	0.3683016671451554
10	10474.599497936808	2124.29	10289.47508285866	132.84631838707116	10555.167719632802	10023.782446084519	0.6967615562320479
11	10499.833425815776	2126.64	10368.014096898196	112.64395673465215	10593.3020103675	10142.726183428891	0.5851149619508559
12	10476.393088196226	2128.28	10414.368473100341	95.56568881276426	10605.49985072587	10223.237095474813	0.32451299135930217
13	10398.582800143271	2119.21	10430.095574504632	81.59093571331796	10593.277445931268	10266.913703077997	-0.19311443168200712
14	10317.872306505464	2114.15	10433.456223719511	75.03011710808003	10583.516457935671	10283.395989503351	-0.7702501453353082
15	10190.723381017111	2102.15	10376.681000335573	126.12236900585367	10628.92573834728	10124.436262323867	-0.7372110942105413
16	10492.560370776711	2079.65	10375.22638932776	124.37678338505573	10623.979956097872	10126.472822557647	0.47168763436219346
17	10400.550992355164	2067.64	10360.057970159547	113.06476776508607	10586.187505689719	10133.928434629375	0.17907002771963673
18	10366.76174393474	2093.25	10353.693758917841	111.23491917221853	10576.163597262279	10131.223920573404	0.05874047967197106
19	10410.685804371804	2108.57	10372.256458491109	111.50658802045936	10595.269634532027	10149.24328245019	0.17231872377641064
20	10437.903223397418	2108.63	10421.69242696717	47.09177560230983	10515.87597817179	10327.50887576255	0.17211918878518187
21	10439.937063618834	2103.84	10411.167765535594	30.113535714962786	10471.394836965519	10350.94069410567	0.47768050812022356
22	10370.543315216635	2098.04	10405.166230107889	35.30169290036958	10475.769615908628	10334.56284430715	-0.49038604166899574
23	10282.356778736812	2093.32	10388.285237068305	65.51193640161375	10519.309109871532	10257.261364265078	-0.8084668546668361
24	10382.754298309674	2099.84	10382.698935855879	64.30401874340662	10511.306973342691	10254.090898369066	0.0004304742913198228
25	10374.117329062392	2083.56	10369.941756988872	56.46332848666993	10482.868413962211	10257.015100015533	0.036975964625480764
26	10382.886119453971	2077.57	10358.5315681559	42.92342419518467	10444.37841654627	10272.684719765532	0.2836976750424663
27	10535.03607835164	2104.18	10391.430120782901	90.78500372554545	10573.000128233993	10209.86011333181	0.7909123295455189
28	10424.096961765936	2084.07	10419.778157388724	67.3047922949626	10554.38774197865	10285.168572798799	0.032083929167216245
29	10493.779023595744	2086.05	10441.983102445938	70.28478568791974	10582.552673821778	10301.413531070099	0.36847178690841464
30	10524.647073329144	2083.39	10472.089051299288	66.05969364941464	10604.208438598118	10339.969664000459	0.39780703728953687
31	10602.447570442817	2091.54	10516.001341497058	64.90428878673332	10645.809919070525	10386.192763923591	0.6659515924271919
32	10687.244759723246	2102.44	10546.44307777138	101.46274852542747	10749.368574822236	10343.517580720525	0.6938589975047792
33	10677.029831054802	2096.92	10597.029651629153	87.27553796953347	10771.58072756822	10422.478575690086	0.4583196006971413
34	10651.420207004883	2079.61	10628.557888310981	66.70001854375033	10761.957925398481	10495.157851223481	0.17138165170753375
35	10452.006825658853	2035.73	10614.029838776925	96.32376268609957	10806.677364149124	10421.382313404727	-0.841033451143691
36	10049.200159285609	1970.89	10503.380356545484	271.4751127341597	11046.330582013803	9960.430131077164	-0.8365042981023239
37	9618.076438305732	1893.21	10289.54669226198	451.6989252605889	11192.944542783158	9386.148841740802	-0.7432719189766401
38	9500.286456594924	1867.61	10054.198017370003	502.98390113792817	11060.16581964586	9048.230215094147	-0.5506255364455348
39	9874.327851980288	1940.51	9898.779546365085	376.4557232176263	10651.690992800339	9145.868099929832	-0.03247618893372777
40	10158.03726430566	1987.66	9839.985634094448	278.72305579632075	10397.431745687089	9282.539522501807	0.5705513476496017
41	10179.909876060201	1988.87	9866.127577449366	307.85830102618917	10481.844179501744	9250.410975396988	0.5096213055891284
42	10087.862296745388	1972.18	9960.084749137297	283.9912417645062	10528.06723266631	9392.102265608284	0.22496740887884203
43	9785.45767745678	1913.85	10017.118993309667	177.0732340678922	10371.265461445451	9662.972525173882	-0.6541398452237709
44	10008.245685334892	1948.86	10043.902559980586	159.31285982873553	10362.528279638058	9725.276840323115	-0.11190833773251586
45	9945.081801285582	1951.13	10001.31146737657	149.32444123359966	10299.96034984377	9702.66258490937	-0.18828018248876077
46	9814.157562095552	1921.22	9928.16100458364	128.02870444007712	10184.218413463796	9672.103595703486	-0.445226103734601
47	10088.02554558244	1969.41	9928.193654351053	128.07962373364379	10184.35290181834	9672.034406883766	0.6239551872973046
48	9971.377609470886	1942.04	9965.377640753873	100.2442151932106	10165.866071140295	9764.889210367452	0.029926757895448772
49	10066.637737284611	1952.29	9977.056051143818	109.4641748197161	10195.98440078325	9758.127701504385	0.4091826677007845
50	10164.071044764214	1961.05	10020.853899839543	134.43457489501884	10289.723049629582	9751.984750049505	0.5326648484458342
51	10137.490538379123	1953.03	10085.520495096256	74.60312729935286	10234.726749694963	9936.31424049755	0.34831008540923164
