Date	AAPL	AMZN	EXC	NDAQ	RGLD	Portfolio Val
2015-07-01	2500.0	2500.0	1000.0	3000.0	1000.0	10000.0
2015-07-02	2496.8404423380584	2501.829031299298	1010.0850929719662	3025.867378361742	1020.8026208026184	10055.424565773683
2015-07-06	2488.151658767617	2492.2837742060865	1006.6183422628561	3003.0794498049668	1038.9025389025248	10029.035763944052
2015-07-07	2482.0300157976317	2496.170465717095	1032.7765521588472	3008.006569492951	1009.5004095003997	10028.484012666926
2015-07-08	2420.4186413901894	2456.046091588742	1027.418846517517	2947.6493533155744	1011.7117117117064	9863.244644523731
2015-07-09	2371.0505529225115	2482.85283156908	1024.2672549637714	3031.410388010668	1014.7420147420046	9924.323042208038
2015-07-10	2434.4391785148214	2534.9802235990765	1032.1462338481188	3109.0125230958924	996.5601965601973	10107.138355618106
2015-07-13	2481.4375987361464	2603.9118406913735	1030.5704380712286	3121.3303223157573	1007.3710073709939	10244.621207185499
2015-07-14	2480.450236966661	2661.0690687944398	1032.7765521588472	3150.8930404434714	994.7583947583951	10319.947293121815
2015-07-15	2504.3443917851178	2636.034202885297	1035.2978254018303	3155.2042701704504	970.1883701883703	10301.069060431066
2015-07-16	2537.7172195891917	2717.7118818445783	1058.6196028994743	3194.6212276740043	965.9295659295587	10474.599497936808
2015-07-17	2559.636650868884	2760.751274606187	1055.4680113457284	3192.7735577910503	931.2039312039276	10499.833425815776
2015-07-20	2608.017377567076	2789.844303710647	1052.3164197920169	3187.23054814206	838.9844389844259	10476.393088196226
2015-07-21	2581.9510268561635	2789.2727314296167	1033.0917113142116	3153.972490248437	840.2948402948399	10398.58280014327
2015-07-22	2472.748815165705	2790.8159765883993	1033.0917113142116	3185.9987682201117	835.2170352170364	10317.872306505464
2015-07-23	2471.5639810425287	2756.007224673632	984.5572013867038	3173.680969000247	804.9140049140015	10190.723381017113
2015-07-24	2458.5308056871754	3026.017970232516	974.1569492593733	3195.853007596016	838.0016380016323	10492.560370776711
2015-07-27	2424.3680884675127	3037.3922586250255	965.3324929089327	3151.508930404478	821.9492219492138	10400.550992355164
2015-07-28	2436.4139020535863	3006.6416699055762	976.9933816577548	3118.8667624717973	827.8460278460257	10366.761743934741
2015-07-29	2428.7124802526305	3023.6173666521872	981.4056098329921	3140.422911106561	836.5274365274335	10410.685804371804
2015-07-30	2416.4691943126595	3067.9713756601664	997.4787267570172	3140.422911106561	815.5610155610134	10437.903223397418
2015-07-31	2395.339652448556	3064.484784745879	1011.3457295934579	3142.8864709505206	825.8804258804217	10439.937063618834
2015-08-03	2338.8625592416133	3058.0831751983355	1022.6914591869155	3140.422911106561	810.4832104832101	10370.543315216635
2015-08-04	2263.823064770818	3040.1929628020757	1000.6303183107631	3164.442619585349	813.2678132678059	10282.356778736812
2015-08-05	2278.8309636649356	3069.400306362743	1000.0	3231.574625333598	802.9484029483975	10382.754298309674
2015-08-06	2283.7677725117446	3026.2465991449285	1008.1941380397118	3250.667214124402	805.241605241605	10374.117329062392
2015-08-07	2291.5039788114464	2987.151055122431	1022.3763000315167	3259.9055635393643	821.9492219492138	10382.886119453971
2015-08-10	2374.8169697307726	2995.038752600654	1014.1821619918051	3298.090741120971	852.9074529074387	10535.03607835164
2015-08-11	2251.236033200432	3014.815153524315	1011.3457295934579	3283.309382057082	863.3906633906487	10424.096961765936
2015-08-12	2285.9497794168524	3005.955783168339	1040.025212732432	3266.680353110239	895.1678951678824	10493.779023595745
2015-08-13	2284.164501039871	3027.389743706989	1041.9340996325277	3303.0178608088913	868.1408681408653	10524.647073329144
